Unnamed: 0,0,1,2,3,4,5,6,7,8,9,10,0.1,1.1,2.1,3.1,4.1,5.1,6.1,7.1,8.1,9.1,10.1,0.2,1.2,2.2,3.2,4.2,5.2,6.2,7.2,8.2,9.2,10.2,0.3,1.3,2.3,3.3,4.3,5.3,6.3,7.3,8.3,9.3,10.3,0.4,1.4,2.4,3.4,4.4,5.4,6.4,7.4,8.4,9.4,10.4,0.5,1.5,2.5,3.5,4.5,5.5,6.5,7.5,8.5,9.5,10.5,0.6,1.6,2.6,3.6,4.6,5.6,6.6,7.6,8.6,9.6,10.6,0,1,2,3,4,5,6,7,8,9,10
26.0,,Europe + Middle East 3GB,3.0,30.0,8.66,25.99,Not included,🇦🇽 Aland Islands,View Details,https://esimradar.com/textresim-esims/,https://esim.textrapp.com/plans/Europe+MiddleEast,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27.0,,Global 3GB,3.0,30.0,18.0,53.99,Not included,🇦🇽 Aland Islands,View Details,https://esimradar.com/textresim-esims/,https://esim.textrapp.com/plans/Global,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28.0,,Europe + Middle East 5GB,5.0,30.0,8.0,39.99,Not included,🇦🇽 Aland Islands,View Details,https://esimradar.com/textresim-esims/,https://esim.textrapp.com/plans/Europe+MiddleEast,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29.0,,Global 5GB,5.0,30.0,15.8,78.99,Not included,🇦🇽 Aland Islands,View Details,https://esimradar.com/textresim-esims/,https://esim.textrapp.com/plans/Global,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30.0,,Europe + Middle East 10GB,10.0,30.0,7.4,73.99,Not included,🇦🇽 Aland Islands,View Details,https://esimradar.com/textresim-esims/,https://esim.textrapp.com/plans/Europe+MiddleEast,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31.0,,Global 10GB,10.0,30.0,15.4,153.99,Not included,🇦🇽 Aland Islands,View Details,https://esimradar.com/textresim-esims/,https://esim.textrapp.com/plans/Global,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32.0,,8 GB Europe Plan,8.0,14.0,3.13,25.0,Not included,🇦🇽 Aland Islands,View Details,https://www.airhubapp.com/esim-detail/8-GB-Europe-Plan?ref=esimradar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33.0,,8 GB Europe Plan,8.0,14.0,3.13,25.0,Not included,🇦🇽 Aland Islands,View Details,https://www.airhubapp.com/esim-detail/8-GB-Europe-Plan?ref=esimradar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34.0,,20 GB Europe Plan,20.0,14.0,2.0,40.0,Not included,🇦🇽 Aland Islands,View Details,https://www.airhubapp.com/esim-detail/20-GB-Europe-Plan?ref=esimradar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35.0,,20 GB Europe Plan,20.0,14.0,2.0,40.0,Not included,🇦🇽 Aland Islands,View Details,https://www.airhubapp.com/esim-detail/20-GB-Europe-Plan?ref=esimradar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36.0,,Global 3GB Data 30 days,3.0,30.0,6.67,20.0,Not included,🇦🇽 Aland Islands,View Details,https://www.airhubapp.com/esim-detail/Global-3GB-Data-30-days?ref=esimradar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37.0,,Europe 10GB 30Days,10.0,30.0,2.45,24.5,Not included,🇦🇽 Aland Islands,View Details,https://www.airhubapp.com/esim-detail/Europe-10GB-30Days?ref=esimradar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38.0,,Europe 6GB Monthly,6.0,30.0,2.83,17.0,Yes,🇦🇽 Aland Islands,View Details,https://www.airhubapp.com/esim-detail/Europe-6GB-Monthly?ref=esimradar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39.0,,Europe 20GB Monthly,20.0,30.0,1.4,28.0,Yes,🇦🇽 Aland Islands,View Details,https://www.airhubapp.com/esim-detail/Europe-20GB-Monthly?ref=esimradar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40.0,,Global 3GB Data 15 days,3.0,15.0,5.67,17.0,Not included,🇦🇽 Aland Islands,View Details,https://www.airhubapp.com/esim-detail/Global-3GB-Data-15-days?ref=esimradar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41.0,,Europe 25GB 30Days,25.0,30.0,1.2,30.0,Yes,🇦🇽 Aland Islands,View Details,https://www.airhubapp.com/esim-detail/Europe-25GB-30Days?ref=esimradar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42.0,,Europe 6GB 30Days,6.0,30.0,3.17,19.0,Yes,🇦🇽 Aland Islands,View Details,https://www.airhubapp.com/esim-detail/Europe-6GB-30Days?ref=esimradar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43.0,,Europe 20GB 30Days,20.0,30.0,1.45,29.0,Yes,🇦🇽 Aland Islands,View Details,https://www.airhubapp.com/esim-detail/Europe-20GB-30Days?ref=esimradar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44.0,,Europe 25GB Monthly,25.0,30.0,1.16,29.0,Yes,🇦🇽 Aland Islands,View Details,https://www.airhubapp.com/esim-detail/Europe-25GB-Monthly?ref=esimradar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45.0,,Europe 12GB 30Days,12.0,30.0,2.25,27.0,Not included,🇦🇽 Aland Islands,View Details,https://www.airhubapp.com/esim-detail/Europe-12GB-30Days?ref=esimradar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46.0,,Europe 12GB 30Days,12.0,30.0,2.25,27.0,Not included,🇦🇽 Aland Islands,View Details,https://www.airhubapp.com/esim-detail/Europe-12GB-30Days?ref=esimradar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47.0,,AIS eSIM2FLY Global,6.0,15.0,6.65,39.9,Yes,🇦🇽 Aland Islands,View Details,https://esimradar.com/esim2fly-esims/,https://ais.simoptions.com/?utm_medium=wpam_id_355,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48.0,,Orange Holiday Europe,20.0,14.0,2.5,49.9,Yes,🇦🇽 Aland Islands,View Details,https://orange.simoptions.com/?utm_medium=wpam_id_355,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
